UNDERLYING,SYMBOL
APOLLO TYRES LTD,APOLLOTYRE
ASTRAL LIMITED,ASTRAL
ADITYA BIRLA FASHION & RT,ABFRL
ALKEM LABORATORIES LTD.,ALKEM
AARTI INDUSTRIES LTD,AARTIIND
ABB INDIA LIMITED,ABB
BHARAT ELECTRONICS LTD,BEL
AU SMALL FINANCE BANK LTD,AUBANK
AXIS BANK LIMITED,AXISBANK
BAJAJ FINANCE LIMITED,BAJFINANCE
BALKRISHNA IND. LTD,BALKRISIND
BATA INDIA LTD,BATAINDIA
BERGER PAINTS (I) LTD,BERGEPAINT
ASHOK LEYLAND LTD,ASHOKLEY
ABBOTT INDIA LIMITED,ABBOTINDIA
ADITYA BIRLA CAPITAL LTD.,ABCAPITAL
COFORGE LIMITED,COFORGE
CUMMINS INDIA LTD,CUMMINSIND
ASIAN PAINTS LIMITED,ASIANPAINT
ADANI ENTERPRISES LIMITED,ADANIENT
ADANI PORT & SEZ LTD,ADANIPORTS
BAJAJ AUTO LIMITED,BAJAJ-AUTO
DIVI S LABORATORIES LTD,DIVISLAB
AMBUJA CEMENTS LTD,AMBUJACEM
DIXON TECHNO (INDIA) LTD,DIXON
APOLLO HOSPITALS ENTER. L,APOLLOHOSP
EICHER MOTORS LTD,EICHERMOT
GODREJ CONSUMER PRODUCTS,GODREJCP
GRASIM INDUSTRIES LTD,GRASIM
GUJARAT GAS LIMITED,GUJGASLTD
ATUL LTD,ATUL
HCL TECHNOLOGIES LTD,HCLTECH
HDFC LIFE INS CO LTD,HDFCLIFE
BALRAMPUR CHINI MILLS LTD,BALRAMCHIN
BANDHAN BANK LIMITED,BANDHANBNK
BHARAT FORGE LTD,BHARATFORG
IDFC LIMITED,IDFC
BHARTI AIRTEL LIMITED,BHARTIARTL
BHEL,BHEL
BOSCH LIMITED,BOSCHLTD
BHARAT PETROLEUM CORP  LT,BPCL
BRITANNIA INDUSTRIES LTD,BRITANNIA
BIRLASOFT LIMITED,BSOFT
IDFC FIRST BANK LIMITED,IDFCFIRSTB
CAN FIN HOMES LTD,CANFINHOME
THE INDIAN HOTELS CO. LTD,INDHOTEL
CHOLAMANDALAM IN & FIN CO,CHOLAFIN
COLGATE PALMOLIVE LTD.,COLPAL
COROMANDEL INTERNTL. LTD,COROMANDEL
CROMPT GREA CON ELEC LTD,CROMPTON
DABUR INDIA LTD,DABUR
DALMIA BHARAT LIMITED,DALBHARAT
INTERGLOBE AVIATION LTD,INDIGO
DEEPAK NITRITE LTD,DEEPAKNTR
DELTA CORP LIMITED,DELTACORP
BANK OF BARODA,BANKBARODA
DLF LIMITED,DLF
INFOSYS LIMITED,INFY
DR. REDDY S LABORATORIES,DRREDDY
ESCORTS KUBOTA LIMITED,ESCORTS
MARUTI SUZUKI INDIA LTD.,MARUTI
FEDERAL BANK LTD,FEDERALBNK
UNITED SPIRITS LIMITED,MCDOWELL-N
GAIL (INDIA) LTD,GAIL
MAX FINANCIAL SERV LTD,MFSL
GLENMARK PHARMACEUTICALS,GLENMARK
GMR AIRPORTS INFRA LTD,GMRINFRA
GUJ NAR VAL FER & CHEM L,GNFC
NATIONAL ALUMINIUM CO LTD,NATIONALUM
HINDUSTAN AERONAUTICS LTD,HAL
HAVELLS INDIA LIMITED,HAVELLS
HDFC BANK LTD,HDFCBANK
INFO EDGE (I) LTD,NAUKRI
HERO MOTOCORP LIMITED,HEROMOTOCO
HINDALCO  INDUSTRIES  LTD,HINDALCO
HINDUSTAN COPPER LTD,HINDCOPPER
HINDUSTAN PETROLEUM CORP,HINDPETRO
INDIABULLS HSG FIN LTD,IBULHSGFIN
ICICI LOMBARD GIC LIMITED,ICICIGI
ICICI PRU LIFE INS CO LTD,ICICIPRULI
INDIAN ENERGY EXC LTD,IEX
INDRAPRASTHA GAS LTD,IGL
THE INDIA CEMENTS LIMITED,INDIACEM
INDIAMART INTERMESH LTD,INDIAMART
INDUS TOWERS LIMITED,INDUSTOWER
INTELLECT DESIGN ARENA,INTELLECT
INDIAN OIL CORP LTD,IOC
IPCA LABORATORIES LTD,IPCALAB
INDIAN RAIL TOUR CORP LTD,IRCTC
ORACLE FIN SERV SOFT LTD.,OFSS
PAGE INDUSTRIES LTD,PAGEIND
JK CEMENT LIMITED,JKCEMENT
PERSISTENT SYSTEMS LTD,PERSISTENT
PI INDUSTRIES LTD,PIIND
KOTAK MAHINDRA BANK LTD,KOTAKBANK
SBI CARDS & PAY SER LTD,SBICARD
SBI LIFE INSURANCE CO LTD,SBILIFE
L&T FINANCE HOLDINGS LTD,L&TFH
DR. LAL PATH LABS LTD.,LALPATHLAB
LAURUS LABS LIMITED,LAURUSLABS
LIC HOUSING FINANCE LTD,LICHSGFIN
LARSEN & TOUBRO LTD.,LT
LTIMINDTREE LIMITED,LTIM
L&T TECHNOLOGY SER. LTD.,LTTS
AUROBINDO PHARMA LTD,AUROPHARMA
LUPIN LIMITED,LUPIN
MAHINDRA & MAHINDRA LTD,M&M
M&M FIN. SERVICES LTD,M&MFIN
MARICO LIMITED,MARICO
METROPOLIS HEALTHCARE LTD,METROPOLIS
BAJAJ FINSERV LTD.,BAJAJFINSV
CIPLA LTD,CIPLA
MRF LTD,MRF
EXIDE INDUSTRIES LTD,EXIDEIND
MUTHOOT FINANCE LIMITED,MUTHOOTFIN
NAVIN FLUORINE INT. LTD,NAVINFLUOR
TATA CONSULTANCY SERV LT,TCS
TECH MAHINDRA LIMITED,TECHM
TRENT LTD,TRENT
TVS MOTOR COMPANY  LTD,TVSMOTOR
BIOCON LIMITED.,BIOCON
NESTLE INDIA LIMITED,NESTLEIND
WIPRO LTD,WIPRO
NTPC LTD,NTPC
OBEROI REALTY LIMITED,OBEROIRLTY
OIL AND NATURAL GAS CORP.,ONGC
CITY UNION BANK LTD,CUB
CHAMBAL FERTILIZERS LTD,CHAMBLFERT
PETRONET LNG LIMITED,PETRONET
PIDILITE INDUSTRIES LTD,PIDILITIND
PUNJAB NATIONAL BANK,PNB
GRANULES INDIA LIMITED,GRANULES
POWER GRID CORP. LTD.,POWERGRID
THE RAMCO CEMENTS LIMITED,RAMCOCEM
RBL BANK LIMITED,RBLBANK
HDFC AMC LIMITED,HDFCAMC
REC LIMITED,RECLTD
RELIANCE INDUSTRIES LTD,RELIANCE
STEEL AUTHORITY OF INDIA,SAIL
STATE BANK OF INDIA,SBIN
SHREE CEMENT LIMITED,SHREECEM
SHRIRAM FINANCE LIMITED,SHRIRAMFIN
SRF LTD,SRF
SUN PHARMACEUTICAL IND L,SUNPHARMA
COAL INDIA LTD,COALINDIA
SYNGENE INTERNATIONAL LTD,SYNGENE
HINDUSTAN UNILEVER LTD.,HINDUNILVR
TATA CHEMICALS LTD,TATACHEM
TATA COMMUNICATIONS LTD,TATACOMM
TATA CONSUMER PRODUCT LTD,TATACONSUM
ICICI BANK LTD.,ICICIBANK
TATA MOTORS LIMITED,TATAMOTORS
TATA POWER CO LTD,TATAPOWER
INDUSIND BANK LIMITED,INDUSINDBK
TITAN COMPANY LIMITED,TITAN
TORRENT PHARMACEUTICALS L,TORNTPHARM
UNITED BREWERIES LTD,UBL
ULTRATECH CEMENT LIMITED,ULTRACEMCO
UPL LIMITED,UPL
VOLTAS LTD,VOLTAS
JUBILANT FOODWORKS LTD,JUBLFOOD
ZEE ENTERTAINMENT ENT LTD,ZEEL
ZYDUS LIFESCIENCES LTD,ZYDUSLIFE
MANAPPURAM FINANCE LTD,MANAPPURAM
ACC LIMITED,ACC
VEDANTA LIMITED,VEDL
JINDAL STEEL & POWER LTD,JINDALSTEL
JSW STEEL LIMITED,JSWSTEEL
CONTAINER CORP OF IND LTD,CONCOR
NMDC LTD.,NMDC
POLYCAB INDIA LIMITED,POLYCAB
SIEMENS LTD,SIEMENS
CANARA BANK,CANBK
MULTI COMMODITY EXCHANGE,MCX
MAHANAGAR GAS LTD.,MGL
SAMVRDHNA MTHRSN INTL LTD,MOTHERSON
ITC LTD,ITC
PVR INOX LIMITED,PVRINOX
SUN TV NETWORK LIMITED,SUNTV
PIRAMAL ENTERPRISES LTD,PEL
POWER FIN CORP LTD.,PFC
